City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,New Norfolk,AU,-42.7826,147.0587,52.92,67,44,11.48,scattered clouds
79,Kargopol,RU,61.5071,38.9456,43.39,95,100,6.02,overcast clouds
80,Leningradskiy,RU,69.3833,178.4167,27.37,77,98,5.41,overcast clouds
81,Isangel,VU,-19.55,169.2667,79.23,71,37,15.35,scattered clouds
82,Codrington,AU,-38.2667,141.9667,56.01,65,96,15.7,overcast clouds
83,Amapa,BR,1.0,-52.0,73.04,99,100,1.32,light rain
84,Port Blair,IN,11.6667,92.75,84.81,75,95,7.83,overcast clouds
85,Hermanus,ZA,-34.4187,19.2345,58.8,60,0,9.71,clear sky
86,Kroonstad,ZA,-27.6504,27.2349,50.36,83,0,7.78,clear sky
87,Taoudenni,ML,22.6783,-3.9836,88.23,6,69,16.2,broken clouds
88,Zyryanka,RU,65.75,150.85,34.0,85,100,2.53,overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,70.32,32,0,7.74,clear sky
90,Quatre Cocos,MU,-20.2078,57.7625,73.51,84,38,13.04,moderate rain
91,Lavrentiya,RU,65.5833,-171.0,31.53,77,81,10.8,broken clouds
92,San Rafael,AR,-34.6177,-68.3301,45.39,44,2,5.88,clear sky
93,Shevchenkove,UA,49.6959,37.1735,43.95,95,13,9.93,few clouds
94,Bekwai,GH,6.4534,-1.5774,73.11,99,85,2.95,overcast clouds
95,East London,ZA,-33.0153,27.9116,60.93,83,0,7.2,clear sky
96,Dagana,MR,16.5165,-15.5068,89.65,12,27,6.91,scattered clouds
97,Ixtapa,MX,20.7,-105.2,79.83,69,20,8.05,few clouds
98,Mahebourg,MU,-20.4081,57.7,73.69,88,40,6.91,scattered clouds
99,Ponta Do Sol,PT,32.6667,-17.1,70.0,84,37,6.15,scattered clouds
100,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,7.45,light snow
101,Nikolskoye,RU,59.7035,30.7861,45.88,91,100,7.27,overcast clouds
102,Turayf,SA,31.6725,38.6637,57.45,44,0,4.61,clear sky
103,Ust-Tsilma,RU,65.441,52.1498,37.56,86,100,8.1,overcast clouds
104,San Cristobal,VE,7.7669,-72.225,71.78,95,96,2.48,overcast clouds
105,Korla,CN,41.7597,86.1469,73.65,15,100,7.16,overcast clouds
106,Victoria,HK,22.2855,114.1577,68.25,91,100,8.99,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,64.11,93,0,4.61,clear sky
108,Tias,ES,28.9611,-13.645,64.08,77,0,4.61,clear sky
109,Lafiagi,NG,8.8667,5.4167,76.86,86,100,4.0,overcast clouds
110,Sinnamary,GF,5.3833,-52.95,78.17,92,100,9.57,light rain
111,Puerto Ayora,EC,-0.7393,-90.3518,73.54,97,89,1.01,overcast clouds
112,Fortuna,US,40.5982,-124.1573,63.93,77,0,16.11,clear sky
113,Burnie,AU,-41.0667,145.9167,50.94,77,11,18.37,light rain
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.98,86,24,11.63,few clouds
115,Saskylakh,RU,71.9167,114.0833,33.78,100,100,5.06,overcast clouds
116,Berlevag,NO,70.8578,29.0864,37.35,75,100,13.8,overcast clouds
117,Brive-La-Gaillarde,FR,45.25,1.5,59.27,99,100,0.83,overcast clouds
118,Faanui,PF,-16.4833,-151.75,80.78,72,23,8.63,few clouds
119,Ribeira Grande,PT,38.5167,-28.7,57.34,80,17,38.83,light rain
120,Trenggalek,ID,-8.05,111.7167,83.28,72,65,4.25,broken clouds
121,Okha,RU,53.5739,142.9478,35.55,100,98,7.74,overcast clouds
122,Esperance,AU,-33.8667,121.9,53.44,73,98,5.26,overcast clouds
123,Enshi,CN,30.3,109.4833,66.79,63,25,0.72,scattered clouds
124,Marsabit,KE,2.3284,37.9899,61.66,87,39,20.58,scattered clouds
125,Neryungri,RU,56.6709,124.6491,32.77,94,100,5.32,snow
126,Alta,NO,69.9689,23.2717,38.46,84,100,18.41,overcast clouds
127,Calama,CL,-22.4667,-68.9333,46.89,21,0,4.61,clear sky
128,Ayan,RU,56.45,138.1667,34.0,95,100,13.0,overcast clouds
129,Le Mars,US,42.7942,-96.1656,69.31,32,0,4.61,clear sky
130,Poum,NC,-20.2333,164.0167,78.49,72,57,18.52,broken clouds
131,Bethel,US,41.3712,-73.414,67.33,86,81,4.47,light rain
132,Eureka,US,40.8021,-124.1637,68.67,76,3,5.99,clear sky
133,Rexburg,US,43.826,-111.7897,74.71,18,0,4.61,clear sky
134,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,77,11.86,light rain
135,Sepolno Krajenskie,PL,53.452,17.5317,38.68,87,4,1.59,clear sky
136,Narsaq,GL,60.9167,-46.05,37.62,68,45,2.57,scattered clouds
137,Tiksi,RU,71.6872,128.8694,18.61,89,86,6.85,overcast clouds
138,Canutama,BR,-6.5339,-64.3831,74.97,98,86,1.1,overcast clouds
139,Ancud,CL,-41.8697,-73.8203,46.49,78,100,9.86,overcast clouds
140,Torbay,CA,47.6666,-52.7314,31.28,86,75,4.61,broken clouds
141,Krutinka,RU,56.0055,71.5113,55.96,73,87,12.19,overcast clouds
142,Tuatapere,NZ,-46.1333,167.6833,60.15,57,4,4.68,clear sky
143,Alofi,NU,-19.0595,-169.9187,80.49,54,16,13.8,few clouds
144,Sayat,TM,38.7839,63.8803,75.56,36,4,5.3,clear sky
145,Praya,CV,14.9215,-23.5087,81.14,41,0,20.71,clear sky
146,Cullera,ES,39.1667,-0.25,66.81,88,64,3.24,broken clouds
147,Paita,PE,-5.0892,-81.1144,66.58,80,71,14.32,broken clouds
148,Mbini,GQ,1.574,9.6134,76.84,87,99,1.9,light rain
149,Abu Samrah,SY,35.3029,37.1841,59.92,79,0,14.36,clear sky
150,Brownsville,US,25.9018,-97.4975,82.4,75,0,13.8,clear sky
151,Kurilsk,RU,45.2333,147.8833,52.34,52,1,9.48,clear sky
