City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Paamiut,GL,2022-05-08 22:02:32,61.994,-49.6678,33.03,88,100,19.3
68,Punta Arenas,CL,2022-05-08 22:00:48,-53.15,-70.9167,44.11,65,20,23.0
69,East London,ZA,2022-05-08 22:02:33,-33.0153,27.9116,63.18,75,96,11.41
70,Ahuimanu,US,2022-05-08 22:02:34,21.4447,-157.8378,81.54,74,25,7.0
71,Mariestad,SE,2022-05-08 22:02:35,58.7097,13.8237,37.87,61,13,4.25
72,Yellowknife,CA,2022-05-08 22:01:06,62.456,-114.3525,24.57,92,100,27.0
73,Shishou,CN,2022-05-08 22:02:36,29.7226,112.419,64.04,90,95,11.05
74,Avarua,CK,2022-05-08 22:02:37,-21.2078,-159.775,81.03,78,59,13.0
75,Faanui,PF,2022-05-08 22:02:37,-16.4833,-151.75,82.11,75,0,12.62
76,Jamestown,US,2022-05-08 22:02:39,42.097,-79.2353,67.51,16,0,0.0
77,Taoudenni,ML,2022-05-08 21:55:53,22.6783,-3.9836,86.32,8,25,10.45
78,Enterprise,US,2022-05-08 22:02:40,36.0252,-115.2419,84.29,14,75,27.63
79,Clarksburg,US,2022-05-08 22:02:30,39.2807,-80.3445,69.91,43,0,8.95
80,Henties Bay,NA,2022-05-08 22:02:42,-22.116,14.2845,60.26,67,0,5.93
81,Ambulu,ID,2022-05-08 22:02:43,-8.345,113.6058,76.06,90,94,2.86
82,Mount Isa,AU,2022-05-08 22:00:44,-20.7333,139.5,69.57,68,100,5.75
83,Codrington,AU,2022-05-08 22:02:44,-38.2667,141.9667,46.6,90,61,6.46
84,Flinders,AU,2022-05-08 22:01:01,-34.5833,150.8552,58.17,87,94,5.01
85,Kaitangata,NZ,2022-05-08 21:54:17,-46.2817,169.8464,52.68,91,89,2.28
86,Evensk,RU,2022-05-08 22:02:45,61.95,159.2333,31.08,92,95,3.96
87,Daru,PG,2022-05-08 22:02:46,-9.0763,143.2092,81.95,90,69,9.91
88,Tuatapere,NZ,2022-05-08 22:03:47,-46.1333,167.6833,53.37,87,100,2.3
89,Bardiyah,LY,2022-05-08 22:03:48,31.7561,25.0865,63.37,88,0,21.25
90,Swan Hill,AU,2022-05-08 22:03:48,-35.3378,143.5544,48.13,71,4,4.27
91,Awjilah,LY,2022-05-08 22:03:49,29.1081,21.2869,71.73,33,0,13.47
92,Bulgan,MN,2022-05-08 22:03:50,48.8125,103.5347,34.02,78,100,8.41
93,Port Augusta,AU,2022-05-08 22:03:39,-32.5,137.7667,53.31,69,79,4.47
94,Vaini,TO,2022-05-08 22:03:51,-21.2,-175.2,78.96,69,20,9.22
95,Vaitape,PF,2022-05-08 22:03:52,-16.5167,-151.75,82.11,75,0,12.5
96,Anbu,CN,2022-05-08 22:03:53,23.449,116.6809,71.55,81,100,3.58
97,Chokurdakh,RU,2022-05-08 22:00:15,70.6333,147.9167,16.43,86,61,8.88
98,Yar-Sale,RU,2022-05-08 22:03:54,66.8333,70.8333,35.2,100,100,10.51
99,Norman Wells,CA,2022-05-08 22:03:54,65.282,-126.8329,44.58,54,100,1.59
100,Sangar,RU,2022-05-08 22:03:55,63.9242,127.4739,32.23,95,99,6.87
101,Arraial Do Cabo,BR,2022-05-08 22:03:56,-22.9661,-42.0278,73.04,68,47,12.37
102,Mariental,NA,2022-05-08 22:03:56,-24.6333,17.9667,52.27,28,0,9.69
103,Hasaki,JP,2022-05-08 22:03:57,35.7333,140.8333,61.2,54,100,11.72
104,Raga,SS,2022-05-08 22:03:58,8.4596,25.678,77.81,65,100,6.08
105,Tuktoyaktuk,CA,2022-05-08 22:01:45,69.4541,-133.0374,35.71,89,47,12.77
106,Dikson,RU,2022-05-08 22:01:32,73.5069,80.5464,26.8,95,100,26.71
107,Bethel,US,2022-05-08 22:03:59,41.3712,-73.414,57.63,40,100,14.97
108,San Patricio,US,2022-05-08 22:04:01,28.017,-97.5169,90.32,55,1,20.42
109,Tutoia,BR,2022-05-08 22:04:01,-2.7619,-42.2744,77.52,91,100,8.48
110,Bako,ET,2022-05-08 22:04:02,5.7833,36.5667,63.36,89,39,3.87
111,Soyo,AO,2022-05-08 22:04:03,-6.1349,12.3689,77.97,91,22,5.14
112,Khatanga,RU,2022-05-08 22:04:04,71.9667,102.5,4.62,96,45,8.9
